labels,multilabels,ru_names,us_names
C09,['C09'],4030:9a92dd1959bde7d0:b79152f9836b,4040:6a1d05c6f8a9e658:1002ae7545a1
E21,['E21'],4030:9a92dd1959bde7d0:6284828f9036,4040:6a1d05c6f8a9e658:10065291e61c
H04,['H04'],4030:9a92dd1959bde7d0:8c53e32ce7c0,4040:6a1d05c6f8a9e658:1006b57bd427
A61,"['C07', 'A61']",4030:9a92dd1959bde7d0:b9a67f395fe9,4040:6a1d05c6f8a9e658:100e40262b3f
G06,['G06'],4030:9a92dd1959bde7d0:6a80b750d4cc,4040:6a1d05c6f8a9e658:1015a3fc146a
H04,['H04'],4030:9a92dd1959bde7d0:6f3fcde78b99,4040:6a1d05c6f8a9e658:10209b99e9bd
B05,['B05'],4030:9a92dd1959bde7d0:fc9ee7bcb6c7,4040:6a1d05c6f8a9e658:10282b5682fd
C08,['C08'],4030:9a92dd1959bde7d0:818aab4bea17,4040:6a1d05c6f8a9e658:102d1f67dfb
D21,['D21'],4030:9a92dd1959bde7d0:2a0598403185,4040:6a1d05c6f8a9e658:104d443e16ca
G06,['G06'],4030:9a92dd1959bde7d0:b76d510b3a15,4040:6a1d05c6f8a9e658:104e0623fab4
G06,['G06'],4030:9a92dd1959bde7d0:979150f8d61,4040:6a1d05c6f8a9e658:10645ccadb69
G06,['G06'],4030:9a92dd1959bde7d0:91948b71321e,4040:6a1d05c6f8a9e658:1065119efea4
G06,['G06'],4030:9a92dd1959bde7d0:a538d9a5509b,4040:6a1d05c6f8a9e658:106ba7ff047
G06,['G06'],4030:9a92dd1959bde7d0:1aa53d26252d,4040:6a1d05c6f8a9e658:106cee2cfe18
C08,['C08'],4030:9a92dd1959bde7d0:9631446e0c57,4040:6a1d05c6f8a9e658:1071cfff1e4e
A01,['A01'],4030:9a92dd1959bde7d0:35bf3cf12013,4040:6a1d05c6f8a9e658:10759abbb814
C07,['C07'],4030:9a92dd1959bde7d0:46d463d9f48d,4040:6a1d05c6f8a9e658:1077419f125e
H01,['H01'],4030:9a92dd1959bde7d0:113dbbe47d00,4040:6a1d05c6f8a9e658:109b562973b3
G06,['G06'],4030:9a92dd1959bde7d0:c1f89289a9c3,4040:6a1d05c6f8a9e658:10a1cd68545e
B64,['B64'],4030:9a92dd1959bde7d0:22245f57824,4040:6a1d05c6f8a9e658:10ac5d34139
G06,['G06'],4030:9a92dd1959bde7d0:36dca68e0840,4040:6a1d05c6f8a9e658:10b92426d50c
B32,['B32'],4030:9a92dd1959bde7d0:148816017f7d,4040:6a1d05c6f8a9e658:10c0197b9634
E21,['E21'],4030:9a92dd1959bde7d0:12a15ce71c42,4040:6a1d05c6f8a9e658:10c9dcbe5ebe
F16,['F16'],4030:9a92dd1959bde7d0:734d71b34cbe,4040:6a1d05c6f8a9e658:10d3adfd2ecd
G01,['G01'],4030:9a92dd1959bde7d0:bcc5b1f4f8c8,4040:6a1d05c6f8a9e658:10fdd9549f04
F16,['F16'],4030:9a92dd1959bde7d0:ee272539fdb6,4040:6a1d05c6f8a9e658:1119603dfc6b
G06,['G06'],4030:9a92dd1959bde7d0:fa10f701cd96,4040:6a1d05c6f8a9e658:111de8ce73e8
A01,['A01'],4030:9a92dd1959bde7d0:74ce80ca947f,4040:6a1d05c6f8a9e658:11355c1508bc
G01,['G01'],4030:9a92dd1959bde7d0:b7b3525ba82d,4040:6a1d05c6f8a9e658:1138ff118f00
A61,['A61'],4030:9a92dd1959bde7d0:8aa8519bc44d,4040:6a1d05c6f8a9e658:113c34b8e9b1
F01,['F01'],4030:9a92dd1959bde7d0:35d955dbe01f,4040:6a1d05c6f8a9e658:114e1709fbee
B21,['B21'],4030:9a92dd1959bde7d0:d7c92af0f527,4040:6a1d05c6f8a9e658:115bb88289f3
C08,['C08'],4030:9a92dd1959bde7d0:a6cee202fffe,4040:6a1d05c6f8a9e658:11638a3577e5
G01,['G01'],4030:9a92dd1959bde7d0:a37867f5a8df,4040:6a1d05c6f8a9e658:1164dc104ba3
A61,['A61'],4030:9a92dd1959bde7d0:6e4ea1f48d86,4040:6a1d05c6f8a9e658:116801c531ae
A61,"['A61', 'G06']",4030:9a92dd1959bde7d0:d14bd95dc2c4,4040:6a1d05c6f8a9e658:116834a34364
F01,['F01'],4030:9a92dd1959bde7d0:63e3facb72b0,4040:6a1d05c6f8a9e658:116a3f5ef5bd
G01,['G01'],4030:9a92dd1959bde7d0:b1b39e86bf7c,4040:6a1d05c6f8a9e658:116adae20860
A61,['A61'],4030:9a92dd1959bde7d0:9ab99de22507,4040:6a1d05c6f8a9e658:1176cd1d41b9
A23,['A23'],4030:9a92dd1959bde7d0:6e216aab32a7,4040:6a1d05c6f8a9e658:117f42024620
C01,['C01'],4030:9a92dd1959bde7d0:f93200b675cf,4040:6a1d05c6f8a9e658:1183dccbd0e0
A47,['A47'],4030:9a92dd1959bde7d0:658af249f1,4040:6a1d05c6f8a9e658:118b6ac0eacb
H04,['H04'],4030:9a92dd1959bde7d0:41db67fbaeb6,4040:6a1d05c6f8a9e658:118b86a512c9
A23,['A23'],4030:9a92dd1959bde7d0:da4a24787bf7,4040:6a1d05c6f8a9e658:119d8757a588
G06,['G06'],4030:9a92dd1959bde7d0:f75704b70cb3,4040:6a1d05c6f8a9e658:119f87732165
B41,['B41'],4030:9a92dd1959bde7d0:f719eeb840b,4040:6a1d05c6f8a9e658:11a1d5e4ea99
B67,['B67'],4030:9a92dd1959bde7d0:dba3ae35dd50,4040:6a1d05c6f8a9e658:11a685795bae
F02,['F02'],4030:9a92dd1959bde7d0:88c8a3537a34,4040:6a1d05c6f8a9e658:11a961ca471c
G06,['G06'],4030:9a92dd1959bde7d0:e32aeb3d6c2f,4040:6a1d05c6f8a9e658:11ab5d756a96
G06,['G06'],4030:9a92dd1959bde7d0:d31cbbe49ce0,4040:6a1d05c6f8a9e658:11c0d7e66b7f
F04,['F04'],4030:9a92dd1959bde7d0:4662936a34bd,4040:6a1d05c6f8a9e658:11ce7e039055
H04,"['G01', 'H04']",4030:9a92dd1959bde7d0:a171a65255af,4040:6a1d05c6f8a9e658:11dad60b1fa7
E21,['E21'],4030:9a92dd1959bde7d0:44c66d3d447a,4040:6a1d05c6f8a9e658:11e3d0ee5b3c
G06,['G06'],4030:9a92dd1959bde7d0:862dd8d65e62,4040:6a1d05c6f8a9e658:11e3d9389868
H05,['H05'],4030:9a92dd1959bde7d0:8bfbdf344ae1,4040:6a1d05c6f8a9e658:11e482261524
other,['other'],4030:9a92dd1959bde7d0:cdb7f567d7fc,4040:6a1d05c6f8a9e658:11e824f8c419
E21,['E21'],4030:9a92dd1959bde7d0:329c24ba56d8,4040:6a1d05c6f8a9e658:11eca8cc7b6a
