labels,multilabels,ru_names,us_names
C09K8,['C09K8'],4030:9a92dd1959bde7d0:b79152f9836b,4040:6a1d05c6f8a9e658:1002ae7545a1
A61K31,"['A61K31', 'other']",4030:9a92dd1959bde7d0:b9a67f395fe9,4040:6a1d05c6f8a9e658:100e40262b3f
G06F15,['G06F15'],4030:9a92dd1959bde7d0:6a80b750d4cc,4040:6a1d05c6f8a9e658:1015a3fc146a
H04M1,['H04M1'],4030:9a92dd1959bde7d0:6f3fcde78b99,4040:6a1d05c6f8a9e658:10209b99e9bd
G06Q30,['G06Q30'],4030:9a92dd1959bde7d0:979150f8d61,4040:6a1d05c6f8a9e658:10645ccadb69
G06F9,['G06F9'],4030:9a92dd1959bde7d0:a538d9a5509b,4040:6a1d05c6f8a9e658:106ba7ff047
G06F3,['G06F3'],4030:9a92dd1959bde7d0:36dca68e0840,4040:6a1d05c6f8a9e658:10b92426d50c
E21B43,['E21B43'],4030:9a92dd1959bde7d0:12a15ce71c42,4040:6a1d05c6f8a9e658:10c9dcbe5ebe
F16H7,['F16H7'],4030:9a92dd1959bde7d0:ee272539fdb6,4040:6a1d05c6f8a9e658:1119603dfc6b
G01F1,['G01F1'],4030:9a92dd1959bde7d0:b7b3525ba82d,4040:6a1d05c6f8a9e658:1138ff118f00
A61B17,['A61B17'],4030:9a92dd1959bde7d0:8aa8519bc44d,4040:6a1d05c6f8a9e658:113c34b8e9b1
G01V3,['G01V3'],4030:9a92dd1959bde7d0:a37867f5a8df,4040:6a1d05c6f8a9e658:1164dc104ba3
A61F2,['A61F2'],4030:9a92dd1959bde7d0:6e4ea1f48d86,4040:6a1d05c6f8a9e658:116801c531ae
G01V3,['G01V3'],4030:9a92dd1959bde7d0:b1b39e86bf7c,4040:6a1d05c6f8a9e658:116adae20860
A61K31,"['A61K31', 'other']",4030:9a92dd1959bde7d0:9ab99de22507,4040:6a1d05c6f8a9e658:1176cd1d41b9
A23L2,['A23L2'],4030:9a92dd1959bde7d0:6e216aab32a7,4040:6a1d05c6f8a9e658:117f42024620
G06F3,['G06F3'],4030:9a92dd1959bde7d0:f75704b70cb3,4040:6a1d05c6f8a9e658:119f87732165
G06F3,['G06F3'],4030:9a92dd1959bde7d0:d31cbbe49ce0,4040:6a1d05c6f8a9e658:11c0d7e66b7f
H04B1,['H04B1'],4030:9a92dd1959bde7d0:a171a65255af,4040:6a1d05c6f8a9e658:11dad60b1fa7
E21B43,['E21B43'],4030:9a92dd1959bde7d0:329c24ba56d8,4040:6a1d05c6f8a9e658:11eca8cc7b6a
G06K9,['G06K9'],4030:9a92dd1959bde7d0:770811226e9c,4040:6a1d05c6f8a9e658:11ee75747552
E21B47,"['E21B47', 'other']",4030:9a92dd1959bde7d0:cf7ea7dafc6f,4040:6a1d05c6f8a9e658:12144acb62b8
G06F17,['G06F17'],4030:9a92dd1959bde7d0:ab4efdb86804,4040:6a1d05c6f8a9e658:1216d624ed8d
C07C5,['C07C5'],4030:9a92dd1959bde7d0:3c5f8e9805b8,4040:6a1d05c6f8a9e658:12387bd4ebdd
A61K31,['A61K31'],4030:9a92dd1959bde7d0:78e671d2f028,4040:6a1d05c6f8a9e658:1238a0f14411
G06F12,['G06F12'],4030:9a92dd1959bde7d0:7a8ac8649ac6,4040:6a1d05c6f8a9e658:1247658d4bed
B01J23,"['B01J23', 'other']",4030:9a92dd1959bde7d0:ac72e80fe924,4040:6a1d05c6f8a9e658:12506c922118
A61K31,"['A61K31', 'other']",4030:9a92dd1959bde7d0:387d5fb0abc5,4040:6a1d05c6f8a9e658:125a0505d83a
B60W10,"['B60W10', 'other', 'other']",4030:9a92dd1959bde7d0:4fce6ba7f662,4040:6a1d05c6f8a9e658:125b4519b181
E21B43,['E21B43'],4030:9a92dd1959bde7d0:92f65ea8f72a,4040:6a1d05c6f8a9e658:12aa03d29c0c
E21B34,"['E21B43', 'E21B34']",4030:9a92dd1959bde7d0:411e6c308469,4040:6a1d05c6f8a9e658:12af6fff44c8
G06F3,['G06F3'],4030:9a92dd1959bde7d0:dbbaaa58098e,4040:6a1d05c6f8a9e658:12b378047e1b
B26B21,['B26B21'],4030:9a92dd1959bde7d0:55301fd4eb33,4040:6a1d05c6f8a9e658:12b628edad15
B29C45,['B29C45'],4030:9a92dd1959bde7d0:47c2fb5b7982,4040:6a1d05c6f8a9e658:12cc57d08cd5
C08L23,"['C08L23', 'other']",4030:9a92dd1959bde7d0:66e53dce7895,4040:6a1d05c6f8a9e658:12cda937474
A63F13,"['other', 'A63F13']",4030:9a92dd1959bde7d0:7b6f13c56b9a,4040:6a1d05c6f8a9e658:12e44127857e
A61B17,['A61B17'],4030:9a92dd1959bde7d0:60c741c9c563,4040:6a1d05c6f8a9e658:12fcd3469096
A61K38,['A61K38'],4030:9a92dd1959bde7d0:807d33b0a588,4040:6a1d05c6f8a9e658:130152aaae71
H04M1,['H04M1'],4030:9a92dd1959bde7d0:60ecea3714bc,4040:6a1d05c6f8a9e658:1328e53aef84
G06F3,['G06F3'],4030:9a92dd1959bde7d0:5e2cc4bb0c5d,4040:6a1d05c6f8a9e658:132ec923553b
A61B17,['A61B17'],4030:9a92dd1959bde7d0:8f22b8f0da53,4040:6a1d05c6f8a9e658:133527c88979
G02C7,['G02C7'],4030:9a92dd1959bde7d0:3b518f62079c,4040:6a1d05c6f8a9e658:1338fb0fcaf3
C07C7,['C07C7'],4030:9a92dd1959bde7d0:2af671f0d3a9,4040:6a1d05c6f8a9e658:1353a7fe150a
C09K8,['C09K8'],4030:9a92dd1959bde7d0:a4795ca2fb62,4040:6a1d05c6f8a9e658:135b8d6a9ffd
G06K9,['G06K9'],4030:9a92dd1959bde7d0:f21b2e9f7c8b,4040:6a1d05c6f8a9e658:1372438fce37
C08F2,"['C08F2', 'C08F4']",4030:9a92dd1959bde7d0:bdde40e4b09,4040:6a1d05c6f8a9e658:1388b9dd5428
B22D11,['B22D11'],4030:9a92dd1959bde7d0:500b125a3b35,4040:6a1d05c6f8a9e658:138d3bcd63b0
C22F1,['C22F1'],4030:9a92dd1959bde7d0:50ad10e4a717,4040:6a1d05c6f8a9e658:13ae0009ae47
G01V1,['G01V1'],4030:9a92dd1959bde7d0:b21f9b38dc60,4040:6a1d05c6f8a9e658:13e86a4ede7c
G06F15,['G06F15'],4030:9a92dd1959bde7d0:114816bb05db,4040:6a1d05c6f8a9e658:13ec99b50ff9
H04Q7,['H04Q7'],4030:9a92dd1959bde7d0:4ab37679761c,4040:6a1d05c6f8a9e658:13ed315f593c
